"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,0.902413431269675,1,"SonyAIBORobotSurface2","xgboost"
"feasts",36,0.903462749213012,1,"SonyAIBORobotSurface2","xgboost"
"tsfeatures",57,0.910807974816369,1,"SonyAIBORobotSurface2","xgboost"
"TSFEL",143,0.922350472193075,1,"SonyAIBORobotSurface2","xgboost"
"Kats",35,0.849947534102833,1,"SonyAIBORobotSurface2","xgboost"
"tsfresh",454,0.89716684155299,1,"SonyAIBORobotSurface2","xgboost"
"quantiles",101,0.731374606505771,1,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",167,0.846799580272823,1,"SonyAIBORobotSurface2","xgboost"
"FFT coefficients",131,0.857292759706191,1,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",232,0.845750262329486,1,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im) + quantiles",166,0.834207764952781,1,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag, Angle) + quantiles",167,0.844700944386149,1,"SonyAIBORobotSurface2","xgboost"
"FFT (log(Mag), Angle) + quantiles",166,0.837355718782791,1,"SonyAIBORobotSurface2","xgboost"
"catch22",22,0.89716684155299,2,"SonyAIBORobotSurface2","xgboost"
"feasts",36,0.860440713536201,2,"SonyAIBORobotSurface2","xgboost"
"tsfeatures",57,0.879328436516264,2,"SonyAIBORobotSurface2","xgboost"
"TSFEL",145,0.887722980062959,2,"SonyAIBORobotSurface2","xgboost"
"Kats",36,0.89087093389297,2,"SonyAIBORobotSurface2","xgboost"
"tsfresh",453,0.884575026232949,2,"SonyAIBORobotSurface2","xgboost"
"quantiles",101,0.727177334732424,2,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",167,0.773347324239244,2,"SonyAIBORobotSurface2","xgboost"
"FFT coefficients",131,0.884575026232949,2,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",232,0.783840503672613,2,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im) + quantiles",166,0.743966421825813,2,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag, Angle) + quantiles",167,0.779643231899265,2,"SonyAIBORobotSurface2","xgboost"
"FFT (log(Mag), Angle) + quantiles",166,0.775445960125918,2,"SonyAIBORobotSurface2","xgboost"
"catch22",22,0.849947534102833,3,"SonyAIBORobotSurface2","xgboost"
"feasts",36,0.923399790136411,3,"SonyAIBORobotSurface2","xgboost"
"tsfeatures",59,0.925498426023085,3,"SonyAIBORobotSurface2","xgboost"
"TSFEL",145,0.880377754459601,3,"SonyAIBORobotSurface2","xgboost"
"Kats",35,0.912906610703043,3,"SonyAIBORobotSurface2","xgboost"
"tsfresh",453,0.929695697796432,3,"SonyAIBORobotSurface2","xgboost"
"quantiles",101,0.739769150052466,3,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",167,0.869884575026233,3,"SonyAIBORobotSurface2","xgboost"
"FFT coefficients",131,0.849947534102833,3,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",232,0.857292759706191,3,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im) + quantiles",166,0.771248688352571,3,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag, Angle) + quantiles",167,0.865687303252886,3,"SonyAIBORobotSurface2","xgboost"
"FFT (log(Mag), Angle) + quantiles",166,0.868835257082896,3,"SonyAIBORobotSurface2","xgboost"
"catch22",22,0.844700944386149,4,"SonyAIBORobotSurface2","xgboost"
"feasts",37,0.922350472193075,4,"SonyAIBORobotSurface2","xgboost"
"tsfeatures",59,0.924449108079748,4,"SonyAIBORobotSurface2","xgboost"
"TSFEL",142,0.840503672612802,4,"SonyAIBORobotSurface2","xgboost"
"Kats",36,0.920251836306401,4,"SonyAIBORobotSurface2","xgboost"
"tsfresh",454,0.912906610703043,4,"SonyAIBORobotSurface2","xgboost"
"quantiles",101,0.740818467995803,4,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",167,0.859391395592865,4,"SonyAIBORobotSurface2","xgboost"
"FFT coefficients",131,0.859391395592865,4,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",232,0.859391395592865,4,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im) + quantiles",166,0.797481636935992,4,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag, Angle) + quantiles",167,0.856243441762854,4,"SonyAIBORobotSurface2","xgboost"
"FFT (log(Mag), Angle) + quantiles",166,0.857292759706191,4,"SonyAIBORobotSurface2","xgboost"
"catch22",22,0.87408184679958,5,"SonyAIBORobotSurface2","xgboost"
"feasts",36,0.931794333683106,5,"SonyAIBORobotSurface2","xgboost"
"tsfeatures",59,0.932843651626443,5,"SonyAIBORobotSurface2","xgboost"
"TSFEL",145,0.905561385099685,5,"SonyAIBORobotSurface2","xgboost"
"Kats",36,0.860440713536201,5,"SonyAIBORobotSurface2","xgboost"
"tsfresh",454,0.900314795383001,5,"SonyAIBORobotSurface2","xgboost"
"quantiles",101,0.708289611752361,5,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",167,0.825813221406086,5,"SonyAIBORobotSurface2","xgboost"
"FFT coefficients",131,0.82791185729276,5,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",232,0.825813221406086,5,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im) + quantiles",166,0.849947534102833,5,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag, Angle) + quantiles",167,0.812172088142707,5,"SonyAIBORobotSurface2","xgboost"
"FFT (log(Mag), Angle) + quantiles",166,0.813221406086044,5,"SonyAIBORobotSurface2","xgboost"
"catch22",22,0.927597061909759,6,"SonyAIBORobotSurface2","xgboost"
"feasts",37,0.900314795383001,6,"SonyAIBORobotSurface2","xgboost"
"tsfeatures",59,0.932843651626443,6,"SonyAIBORobotSurface2","xgboost"
"TSFEL",145,0.907660020986359,6,"SonyAIBORobotSurface2","xgboost"
"Kats",35,0.916054564533054,6,"SonyAIBORobotSurface2","xgboost"
"tsfresh",454,0.941238195173137,6,"SonyAIBORobotSurface2","xgboost"
"quantiles",101,0.739769150052466,6,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",167,0.865687303252886,6,"SonyAIBORobotSurface2","xgboost"
"FFT coefficients",131,0.867785939139559,6,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",232,0.864637985309549,6,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im) + quantiles",166,0.848898216159496,6,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag, Angle) + quantiles",167,0.87408184679958,6,"SonyAIBORobotSurface2","xgboost"
"FFT (log(Mag), Angle) + quantiles",166,0.869884575026233,6,"SonyAIBORobotSurface2","xgboost"
"catch22",22,0.891920251836306,7,"SonyAIBORobotSurface2","xgboost"
"feasts",36,0.861490031479538,7,"SonyAIBORobotSurface2","xgboost"
"tsfeatures",59,0.863588667366212,7,"SonyAIBORobotSurface2","xgboost"
"TSFEL",145,0.883525708289612,7,"SonyAIBORobotSurface2","xgboost"
"Kats",36,0.841552990556139,7,"SonyAIBORobotSurface2","xgboost"
"tsfresh",453,0.87408184679958,7,"SonyAIBORobotSurface2","xgboost"
"quantiles",101,0.750262329485834,7,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",167,0.881427072402938,7,"SonyAIBORobotSurface2","xgboost"
"FFT coefficients",131,0.883525708289612,7,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",232,0.895068205666317,7,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im) + quantiles",166,0.876180482686254,7,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag, Angle) + quantiles",167,0.876180482686254,7,"SonyAIBORobotSurface2","xgboost"
"FFT (log(Mag), Angle) + quantiles",166,0.878279118572928,7,"SonyAIBORobotSurface2","xgboost"
"catch22",22,0.87093389296957,8,"SonyAIBORobotSurface2","xgboost"
"feasts",37,0.907660020986359,8,"SonyAIBORobotSurface2","xgboost"
"tsfeatures",59,0.883525708289612,8,"SonyAIBORobotSurface2","xgboost"
"TSFEL",143,0.868835257082896,8,"SonyAIBORobotSurface2","xgboost"
"Kats",35,0.912906610703043,8,"SonyAIBORobotSurface2","xgboost"
"tsfresh",455,0.848898216159496,8,"SonyAIBORobotSurface2","xgboost"
"quantiles",101,0.713536201469045,8,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",167,0.814270724029381,8,"SonyAIBORobotSurface2","xgboost"
"FFT coefficients",131,0.815320041972718,8,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",232,0.813221406086044,8,"SonyAIBORobotSurface2","xgboost"
"FFT (Re, Im) + quantiles",166,0.820566631689402,8,"SonyAIBORobotSurface2","xgboost"
"FFT (Mag, Angle) + quantiles",167,0.812172088142707,8,"SonyAIBORobotSurface2","xgboost"
"FFT (log(Mag), Angle) + quantiles",166,0.813221406086044,8,"SonyAIBORobotSurface2","xgboost"
"catch22",22,0.906610703043022,9,"SonyAIBORobotSurface2","xgboost"
"feasts",37,0.910807974816369,9,"SonyAIBORobotSurface2","xgboost"
