"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.8832,1,"SwedishLeaf","xgboost"
"feasts",36,0.9024,1,"SwedishLeaf","xgboost"
"tsfeatures",59,0.9232,1,"SwedishLeaf","xgboost"
"TSFEL",144,0.92,1,"SwedishLeaf","xgboost"
"Kats",36,0.9088,1,"SwedishLeaf","xgboost"
"tsfresh",594,0.9376,1,"SwedishLeaf","xgboost"
"quantiles",101,0.7616,1,"SwedishLeaf","xgboost"
"FFT (Mag^2 + Angle) + quantiles",231,0.904,1,"SwedishLeaf","xgboost"
"FFT coefficients",258,0.8864,1,"SwedishLeaf","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.9184,1,"SwedishLeaf","xgboost"
"FFT (Re, Im) + quantiles",229,0.8896,1,"SwedishLeaf","xgboost"
"FFT (Mag, Angle) + quantiles",231,0.9088,1,"SwedishLeaf","xgboost"
"FFT (log(Mag), Angle) + quantiles",230,0.8976,1,"SwedishLeaf","xgboost"
"catch22",22,0.8992,2,"SwedishLeaf","xgboost"
"feasts",36,0.9152,2,"SwedishLeaf","xgboost"
"tsfeatures",59,0.9232,2,"SwedishLeaf","xgboost"
"TSFEL",144,0.912,2,"SwedishLeaf","xgboost"
"Kats",36,0.9312,2,"SwedishLeaf","xgboost"
"tsfresh",593,0.9376,2,"SwedishLeaf","xgboost"
"quantiles",101,0.7616,2,"SwedishLeaf","xgboost"
"FFT (Mag^2 + Angle) + quantiles",231,0.8896,2,"SwedishLeaf","xgboost"
"FFT coefficients",258,0.8736,2,"SwedishLeaf","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.8992,2,"SwedishLeaf","xgboost"
"FFT (Re, Im) + quantiles",229,0.8512,2,"SwedishLeaf","xgboost"
"FFT (Mag, Angle) + quantiles",231,0.8848,2,"SwedishLeaf","xgboost"
"FFT (log(Mag), Angle) + quantiles",230,0.8848,2,"SwedishLeaf","xgboost"
"catch22",22,0.8736,3,"SwedishLeaf","xgboost"
"feasts",36,0.9232,3,"SwedishLeaf","xgboost"
"tsfeatures",59,0.9232,3,"SwedishLeaf","xgboost"
"TSFEL",144,0.9184,3,"SwedishLeaf","xgboost"
"Kats",36,0.9248,3,"SwedishLeaf","xgboost"
"tsfresh",594,0.9376,3,"SwedishLeaf","xgboost"
"quantiles",101,0.7696,3,"SwedishLeaf","xgboost"
"FFT (Mag^2 + Angle) + quantiles",231,0.8832,3,"SwedishLeaf","xgboost"
"FFT coefficients",258,0.8816,3,"SwedishLeaf","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",359,0.896,3,"SwedishLeaf","xgboost"
"FFT (Re, Im) + quantiles",229,0.872,3,"SwedishLeaf","xgboost"
"FFT (Mag, Angle) + quantiles",231,0.888,3,"SwedishLeaf","xgboost"
"FFT (log(Mag), Angle) + quantiles",230,0.8896,3,"SwedishLeaf","xgboost"
"catch22",22,0.8528,4,"SwedishLeaf","xgboost"
"feasts",36,0.9072,4,"SwedishLeaf","xgboost"
"tsfeatures",59,0.9296,4,"SwedishLeaf","xgboost"
"TSFEL",144,0.8976,4,"SwedishLeaf","xgboost"
"Kats",36,0.912,4,"SwedishLeaf","xgboost"
"tsfresh",594,0.928,4,"SwedishLeaf","xgboost"
"quantiles",101,0.7376,4,"SwedishLeaf","xgboost"
