"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.973333333333333,1,"SyntheticControl","xgboost"
"feasts",38,0.966666666666667,1,"SyntheticControl","xgboost"
"tsfeatures",59,0.983333333333333,1,"SyntheticControl","xgboost"
"TSFEL",143,0.973333333333333,1,"SyntheticControl","xgboost"
"Kats",35,0.646666666666667,1,"SyntheticControl","xgboost"
"tsfresh",448,0.976666666666667,1,"SyntheticControl","xgboost"
"quantiles",101,0.486666666666667,1,"SyntheticControl","xgboost"
"FFT (Mag^2 + Angle) + quantiles",163,0.96,1,"SyntheticControl","xgboost"
"FFT coefficients",122,0.983333333333333,1,"SyntheticControl","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",223,0.973333333333333,1,"SyntheticControl","xgboost"
"FFT (Re, Im) + quantiles",161,0.95,1,"SyntheticControl","xgboost"
"FFT (Mag, Angle) + quantiles",163,0.963333333333333,1,"SyntheticControl","xgboost"
"FFT (log(Mag), Angle) + quantiles",162,0.96,1,"SyntheticControl","xgboost"
"catch22",22,0.976666666666667,2,"SyntheticControl","xgboost"
"feasts",38,0.986666666666667,2,"SyntheticControl","xgboost"
"tsfeatures",59,0.993333333333333,2,"SyntheticControl","xgboost"
"TSFEL",143,0.97,2,"SyntheticControl","xgboost"
"Kats",35,0.626666666666667,2,"SyntheticControl","xgboost"
"tsfresh",451,0.996666666666667,2,"SyntheticControl","xgboost"
"quantiles",101,0.43,2,"SyntheticControl","xgboost"
"FFT (Mag^2 + Angle) + quantiles",163,0.97,2,"SyntheticControl","xgboost"
"FFT coefficients",122,0.976666666666667,2,"SyntheticControl","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",223,0.983333333333333,2,"SyntheticControl","xgboost"
"FFT (Re, Im) + quantiles",161,0.953333333333333,2,"SyntheticControl","xgboost"
"FFT (Mag, Angle) + quantiles",163,0.97,2,"SyntheticControl","xgboost"
"FFT (log(Mag), Angle) + quantiles",162,0.973333333333333,2,"SyntheticControl","xgboost"
"catch22",22,0.993333333333333,3,"SyntheticControl","xgboost"
"feasts",38,0.986666666666667,3,"SyntheticControl","xgboost"
"tsfeatures",59,0.99,3,"SyntheticControl","xgboost"
"TSFEL",143,0.98,3,"SyntheticControl","xgboost"
"Kats",35,0.65,3,"SyntheticControl","xgboost"
"tsfresh",450,0.99,3,"SyntheticControl","xgboost"
"quantiles",101,0.41,3,"SyntheticControl","xgboost"
