"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.784615384615385,1,"ToeSegmentation2","xgboost"
"feasts",37,0.723076923076923,1,"ToeSegmentation2","xgboost"
"tsfeatures",59,0.769230769230769,1,"ToeSegmentation2","xgboost"
"TSFEL",144,0.830769230769231,1,"ToeSegmentation2","xgboost"
"Kats",36,0.761538461538461,1,"ToeSegmentation2","xgboost"
"tsfresh",730,0.846153846153846,1,"ToeSegmentation2","xgboost"
"quantiles",101,0.630769230769231,1,"ToeSegmentation2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.669230769230769,1,"ToeSegmentation2","xgboost"
"FFT coefficients",399,0.7,1,"ToeSegmentation2","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.7,1,"ToeSegmentation2","xgboost"
"FFT (Re, Im) + quantiles",300,0.623076923076923,1,"ToeSegmentation2","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.669230769230769,1,"ToeSegmentation2","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.676923076923077,1,"ToeSegmentation2","xgboost"
"catch22",22,0.661538461538462,2,"ToeSegmentation2","xgboost"
"feasts",37,0.723076923076923,2,"ToeSegmentation2","xgboost"
"tsfeatures",59,0.692307692307692,2,"ToeSegmentation2","xgboost"
"TSFEL",144,0.692307692307692,2,"ToeSegmentation2","xgboost"
"Kats",36,0.7,2,"ToeSegmentation2","xgboost"
"tsfresh",733,0.8,2,"ToeSegmentation2","xgboost"
"quantiles",101,0.753846153846154,2,"ToeSegmentation2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.769230769230769,2,"ToeSegmentation2","xgboost"
"FFT coefficients",399,0.630769230769231,2,"ToeSegmentation2","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.784615384615385,2,"ToeSegmentation2","xgboost"
"FFT (Re, Im) + quantiles",300,0.761538461538461,2,"ToeSegmentation2","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.761538461538461,2,"ToeSegmentation2","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.769230769230769,2,"ToeSegmentation2","xgboost"
"catch22",22,0.815384615384615,3,"ToeSegmentation2","xgboost"
"feasts",37,0.830769230769231,3,"ToeSegmentation2","xgboost"
"tsfeatures",59,0.838461538461538,3,"ToeSegmentation2","xgboost"
"TSFEL",144,0.9,3,"ToeSegmentation2","xgboost"
"Kats",36,0.707692307692308,3,"ToeSegmentation2","xgboost"
"tsfresh",732,0.876923076923077,3,"ToeSegmentation2","xgboost"
"quantiles",101,0.792307692307692,3,"ToeSegmentation2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.746153846153846,3,"ToeSegmentation2","xgboost"
"FFT coefficients",399,0.661538461538462,3,"ToeSegmentation2","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.692307692307692,3,"ToeSegmentation2","xgboost"
"FFT (Re, Im) + quantiles",300,0.638461538461538,3,"ToeSegmentation2","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.715384615384615,3,"ToeSegmentation2","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.730769230769231,3,"ToeSegmentation2","xgboost"
"catch22",22,0.730769230769231,4,"ToeSegmentation2","xgboost"
"feasts",37,0.715384615384615,4,"ToeSegmentation2","xgboost"
"tsfeatures",59,0.753846153846154,4,"ToeSegmentation2","xgboost"
"TSFEL",144,0.846153846153846,4,"ToeSegmentation2","xgboost"
"Kats",36,0.676923076923077,4,"ToeSegmentation2","xgboost"
"tsfresh",733,0.9,4,"ToeSegmentation2","xgboost"
"quantiles",101,0.615384615384615,4,"ToeSegmentation2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.661538461538462,4,"ToeSegmentation2","xgboost"
"FFT coefficients",399,0.792307692307692,4,"ToeSegmentation2","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.676923076923077,4,"ToeSegmentation2","xgboost"
"FFT (Re, Im) + quantiles",300,0.646153846153846,4,"ToeSegmentation2","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.669230769230769,4,"ToeSegmentation2","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.661538461538462,4,"ToeSegmentation2","xgboost"
"catch22",22,0.769230769230769,5,"ToeSegmentation2","xgboost"
"feasts",37,0.807692307692308,5,"ToeSegmentation2","xgboost"
"tsfeatures",59,0.869230769230769,5,"ToeSegmentation2","xgboost"
"TSFEL",144,0.869230769230769,5,"ToeSegmentation2","xgboost"
"Kats",36,0.715384615384615,5,"ToeSegmentation2","xgboost"
"tsfresh",732,0.9,5,"ToeSegmentation2","xgboost"
"quantiles",101,0.769230769230769,5,"ToeSegmentation2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.715384615384615,5,"ToeSegmentation2","xgboost"
"FFT coefficients",399,0.653846153846154,5,"ToeSegmentation2","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.684615384615385,5,"ToeSegmentation2","xgboost"
"FFT (Re, Im) + quantiles",300,0.753846153846154,5,"ToeSegmentation2","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.715384615384615,5,"ToeSegmentation2","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.692307692307692,5,"ToeSegmentation2","xgboost"
"catch22",22,0.823076923076923,6,"ToeSegmentation2","xgboost"
"feasts",37,0.784615384615385,6,"ToeSegmentation2","xgboost"
"tsfeatures",59,0.776923076923077,6,"ToeSegmentation2","xgboost"
"TSFEL",144,0.876923076923077,6,"ToeSegmentation2","xgboost"
"Kats",36,0.7,6,"ToeSegmentation2","xgboost"
"tsfresh",733,0.746153846153846,6,"ToeSegmentation2","xgboost"
"quantiles",101,0.669230769230769,6,"ToeSegmentation2","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.730769230769231,6,"ToeSegmentation2","xgboost"
"FFT coefficients",399,0.692307692307692,6,"ToeSegmentation2","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.738461538461539,6,"ToeSegmentation2","xgboost"
"FFT (Re, Im) + quantiles",300,0.684615384615385,6,"ToeSegmentation2","xgboost"
