"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",21,0.99,1,"Trace","xgboost"
"feasts",37,1,1,"Trace","xgboost"
"tsfeatures",59,1,1,"Trace","xgboost"
"TSFEL",141,0.99,1,"Trace","xgboost"
"Kats",35,1,1,"Trace","xgboost"
"tsfresh",733,1,1,"Trace","xgboost"
"quantiles",101,0.97,1,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.98,1,"Trace","xgboost"
"FFT coefficients",399,0.94,1,"Trace","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.98,1,"Trace","xgboost"
"FFT (Re, Im) + quantiles",300,0.98,1,"Trace","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.99,1,"Trace","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.99,1,"Trace","xgboost"
"catch22",21,1,2,"Trace","xgboost"
"feasts",37,1,2,"Trace","xgboost"
"tsfeatures",59,1,2,"Trace","xgboost"
"TSFEL",142,0.98,2,"Trace","xgboost"
"Kats",35,0.98,2,"Trace","xgboost"
"tsfresh",739,1,2,"Trace","xgboost"
"quantiles",101,0.98,2,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,1,2,"Trace","xgboost"
"FFT coefficients",399,0.95,2,"Trace","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,1,2,"Trace","xgboost"
"FFT (Re, Im) + quantiles",300,1,2,"Trace","xgboost"
"FFT (Mag, Angle) + quantiles",301,1,2,"Trace","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,1,2,"Trace","xgboost"
"catch22",21,0.99,3,"Trace","xgboost"
"feasts",37,1,3,"Trace","xgboost"
"tsfeatures",59,0.99,3,"Trace","xgboost"
"TSFEL",142,0.99,3,"Trace","xgboost"
"Kats",35,1,3,"Trace","xgboost"
"tsfresh",739,1,3,"Trace","xgboost"
"quantiles",101,1,3,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,1,3,"Trace","xgboost"
"FFT coefficients",399,0.98,3,"Trace","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,1,3,"Trace","xgboost"
"FFT (Re, Im) + quantiles",300,1,3,"Trace","xgboost"
"FFT (Mag, Angle) + quantiles",301,1,3,"Trace","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,1,3,"Trace","xgboost"
"catch22",21,1,4,"Trace","xgboost"
"feasts",37,0.98,4,"Trace","xgboost"
"tsfeatures",59,1,4,"Trace","xgboost"
"TSFEL",141,0.99,4,"Trace","xgboost"
"Kats",35,0.97,4,"Trace","xgboost"
"tsfresh",733,1,4,"Trace","xgboost"
"quantiles",101,0.95,4,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,1,4,"Trace","xgboost"
"FFT coefficients",399,0.99,4,"Trace","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,1,4,"Trace","xgboost"
"FFT (Re, Im) + quantiles",300,1,4,"Trace","xgboost"
"FFT (Mag, Angle) + quantiles",301,1,4,"Trace","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,1,4,"Trace","xgboost"
"catch22",21,0.97,5,"Trace","xgboost"
"feasts",37,1,5,"Trace","xgboost"
"tsfeatures",59,1,5,"Trace","xgboost"
"TSFEL",142,1,5,"Trace","xgboost"
"Kats",35,0.99,5,"Trace","xgboost"
"tsfresh",739,1,5,"Trace","xgboost"
"quantiles",101,0.98,5,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,1,5,"Trace","xgboost"
"FFT coefficients",399,0.96,5,"Trace","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,1,5,"Trace","xgboost"
"FFT (Re, Im) + quantiles",300,1,5,"Trace","xgboost"
"FFT (Mag, Angle) + quantiles",301,1,5,"Trace","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,1,5,"Trace","xgboost"
"catch22",21,0.99,6,"Trace","xgboost"
"feasts",37,0.97,6,"Trace","xgboost"
"tsfeatures",59,0.99,6,"Trace","xgboost"
"TSFEL",141,1,6,"Trace","xgboost"
"Kats",35,0.97,6,"Trace","xgboost"
"tsfresh",733,0.99,6,"Trace","xgboost"
"quantiles",101,0.99,6,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.99,6,"Trace","xgboost"
"FFT coefficients",399,0.97,6,"Trace","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.99,6,"Trace","xgboost"
"FFT (Re, Im) + quantiles",300,1,6,"Trace","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.97,6,"Trace","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.96,6,"Trace","xgboost"
"catch22",21,1,7,"Trace","xgboost"
"feasts",37,0.98,7,"Trace","xgboost"
"tsfeatures",59,1,7,"Trace","xgboost"
"TSFEL",141,1,7,"Trace","xgboost"
"Kats",35,0.99,7,"Trace","xgboost"
"tsfresh",733,1,7,"Trace","xgboost"
"quantiles",101,0.97,7,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,1,7,"Trace","xgboost"
"FFT coefficients",399,0.98,7,"Trace","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,1,7,"Trace","xgboost"
"FFT (Re, Im) + quantiles",300,0.98,7,"Trace","xgboost"
"FFT (Mag, Angle) + quantiles",301,1,7,"Trace","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,1,7,"Trace","xgboost"
"catch22",21,1,8,"Trace","xgboost"
"feasts",37,1,8,"Trace","xgboost"
"tsfeatures",59,0.99,8,"Trace","xgboost"
"TSFEL",142,0.99,8,"Trace","xgboost"
"Kats",35,0.99,8,"Trace","xgboost"
"tsfresh",739,0.99,8,"Trace","xgboost"
"quantiles",101,0.98,8,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.99,8,"Trace","xgboost"
"FFT coefficients",399,0.92,8,"Trace","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.99,8,"Trace","xgboost"
"FFT (Re, Im) + quantiles",300,1,8,"Trace","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.98,8,"Trace","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.98,8,"Trace","xgboost"
"catch22",21,0.98,9,"Trace","xgboost"
"feasts",37,0.99,9,"Trace","xgboost"
"tsfeatures",59,1,9,"Trace","xgboost"
"TSFEL",141,1,9,"Trace","xgboost"
"Kats",35,0.99,9,"Trace","xgboost"
"tsfresh",733,1,9,"Trace","xgboost"
"quantiles",101,0.98,9,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,1,9,"Trace","xgboost"
"FFT coefficients",399,0.97,9,"Trace","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.99,9,"Trace","xgboost"
"FFT (Re, Im) + quantiles",300,1,9,"Trace","xgboost"
"FFT (Mag, Angle) + quantiles",301,1,9,"Trace","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.99,9,"Trace","xgboost"
"catch22",21,1,10,"Trace","xgboost"
"feasts",37,0.97,10,"Trace","xgboost"
"tsfeatures",59,0.99,10,"Trace","xgboost"
"TSFEL",142,1,10,"Trace","xgboost"
"Kats",35,0.98,10,"Trace","xgboost"
"tsfresh",739,1,10,"Trace","xgboost"
"quantiles",101,0.94,10,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.94,10,"Trace","xgboost"
"FFT coefficients",399,0.91,10,"Trace","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.96,10,"Trace","xgboost"
"FFT (Re, Im) + quantiles",300,1,10,"Trace","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.94,10,"Trace","xgboost"
"FFT (log(Mag), Angle) + quantiles",300,0.94,10,"Trace","xgboost"
"catch22",21,0.99,11,"Trace","xgboost"
"feasts",37,1,11,"Trace","xgboost"
"tsfeatures",59,1,11,"Trace","xgboost"
"TSFEL",141,0.99,11,"Trace","xgboost"
"Kats",35,1,11,"Trace","xgboost"
"tsfresh",733,1,11,"Trace","xgboost"
"quantiles",101,0.92,11,"Trace","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.95,11,"Trace","xgboost"
"FFT coefficients",399,0.93,11,"Trace","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.95,11,"Trace","xgboost"
"FFT (Re, Im) + quantiles",300,0.96,11,"Trace","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.95,11,"Trace","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.95,11,"Trace","xgboost"
"catch22",21,0.98,12,"Trace","xgboost"
"feasts",37,1,12,"Trace","xgboost"
