"feature_set","num_features","accuracy","resample","problem","classifier"
"catch22",22,0.831168831168831,1,"WormsTwoClass","xgboost"
"feasts",37,0.818181818181818,1,"WormsTwoClass","xgboost"
"tsfeatures",59,0.844155844155844,1,"WormsTwoClass","xgboost"
"TSFEL",144,0.831168831168831,1,"WormsTwoClass","xgboost"
"Kats",36,0.883116883116883,1,"WormsTwoClass","xgboost"
"tsfresh",731,0.87012987012987,1,"WormsTwoClass","xgboost"
"quantiles",101,0.649350649350649,1,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.818181818181818,1,"WormsTwoClass","xgboost"
"FFT coefficients",399,0.753246753246753,1,"WormsTwoClass","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.766233766233766,1,"WormsTwoClass","xgboost"
"FFT (Re, Im) + quantiles",300,0.701298701298701,1,"WormsTwoClass","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.792207792207792,1,"WormsTwoClass","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.805194805194805,1,"WormsTwoClass","xgboost"
"catch22",22,0.779220779220779,2,"WormsTwoClass","xgboost"
"feasts",37,0.805194805194805,2,"WormsTwoClass","xgboost"
"tsfeatures",59,0.844155844155844,2,"WormsTwoClass","xgboost"
"TSFEL",144,0.805194805194805,2,"WormsTwoClass","xgboost"
"Kats",36,0.805194805194805,2,"WormsTwoClass","xgboost"
"tsfresh",731,0.805194805194805,2,"WormsTwoClass","xgboost"
"quantiles",101,0.662337662337662,2,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.714285714285714,2,"WormsTwoClass","xgboost"
"FFT coefficients",399,0.766233766233766,2,"WormsTwoClass","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.74025974025974,2,"WormsTwoClass","xgboost"
"FFT (Re, Im) + quantiles",300,0.714285714285714,2,"WormsTwoClass","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.74025974025974,2,"WormsTwoClass","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.727272727272727,2,"WormsTwoClass","xgboost"
"catch22",22,0.831168831168831,3,"WormsTwoClass","xgboost"
"feasts",37,0.818181818181818,3,"WormsTwoClass","xgboost"
"tsfeatures",59,0.87012987012987,3,"WormsTwoClass","xgboost"
"TSFEL",144,0.831168831168831,3,"WormsTwoClass","xgboost"
"Kats",36,0.844155844155844,3,"WormsTwoClass","xgboost"
"tsfresh",731,0.844155844155844,3,"WormsTwoClass","xgboost"
"quantiles",101,0.597402597402597,3,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.818181818181818,3,"WormsTwoClass","xgboost"
"FFT coefficients",399,0.792207792207792,3,"WormsTwoClass","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.792207792207792,3,"WormsTwoClass","xgboost"
"FFT (Re, Im) + quantiles",300,0.701298701298701,3,"WormsTwoClass","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.818181818181818,3,"WormsTwoClass","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.818181818181818,3,"WormsTwoClass","xgboost"
"catch22",22,0.805194805194805,4,"WormsTwoClass","xgboost"
"feasts",37,0.922077922077922,4,"WormsTwoClass","xgboost"
"tsfeatures",59,0.935064935064935,4,"WormsTwoClass","xgboost"
"TSFEL",144,0.87012987012987,4,"WormsTwoClass","xgboost"
"Kats",36,0.948051948051948,4,"WormsTwoClass","xgboost"
"tsfresh",731,0.896103896103896,4,"WormsTwoClass","xgboost"
"quantiles",101,0.636363636363636,4,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.831168831168831,4,"WormsTwoClass","xgboost"
"FFT coefficients",399,0.87012987012987,4,"WormsTwoClass","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.857142857142857,4,"WormsTwoClass","xgboost"
"FFT (Re, Im) + quantiles",300,0.753246753246753,4,"WormsTwoClass","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.857142857142857,4,"WormsTwoClass","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.844155844155844,4,"WormsTwoClass","xgboost"
"catch22",22,0.727272727272727,5,"WormsTwoClass","xgboost"
"feasts",37,0.844155844155844,5,"WormsTwoClass","xgboost"
"tsfeatures",59,0.818181818181818,5,"WormsTwoClass","xgboost"
"TSFEL",144,0.766233766233766,5,"WormsTwoClass","xgboost"
"Kats",36,0.805194805194805,5,"WormsTwoClass","xgboost"
"tsfresh",736,0.779220779220779,5,"WormsTwoClass","xgboost"
"quantiles",101,0.493506493506494,5,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.701298701298701,5,"WormsTwoClass","xgboost"
"FFT coefficients",399,0.753246753246753,5,"WormsTwoClass","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.753246753246753,5,"WormsTwoClass","xgboost"
"FFT (Re, Im) + quantiles",300,0.701298701298701,5,"WormsTwoClass","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.714285714285714,5,"WormsTwoClass","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.701298701298701,5,"WormsTwoClass","xgboost"
"catch22",22,0.857142857142857,6,"WormsTwoClass","xgboost"
"feasts",37,0.857142857142857,6,"WormsTwoClass","xgboost"
"tsfeatures",59,0.883116883116883,6,"WormsTwoClass","xgboost"
"TSFEL",144,0.87012987012987,6,"WormsTwoClass","xgboost"
"Kats",36,0.844155844155844,6,"WormsTwoClass","xgboost"
"tsfresh",731,0.779220779220779,6,"WormsTwoClass","xgboost"
"quantiles",101,0.688311688311688,6,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.74025974025974,6,"WormsTwoClass","xgboost"
"FFT coefficients",399,0.74025974025974,6,"WormsTwoClass","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.727272727272727,6,"WormsTwoClass","xgboost"
"FFT (Re, Im) + quantiles",300,0.701298701298701,6,"WormsTwoClass","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.753246753246753,6,"WormsTwoClass","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.766233766233766,6,"WormsTwoClass","xgboost"
"catch22",22,0.818181818181818,7,"WormsTwoClass","xgboost"
"feasts",37,0.818181818181818,7,"WormsTwoClass","xgboost"
"tsfeatures",59,0.805194805194805,7,"WormsTwoClass","xgboost"
"TSFEL",144,0.805194805194805,7,"WormsTwoClass","xgboost"
"Kats",36,0.753246753246753,7,"WormsTwoClass","xgboost"
"tsfresh",731,0.844155844155844,7,"WormsTwoClass","xgboost"
"quantiles",101,0.701298701298701,7,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.753246753246753,7,"WormsTwoClass","xgboost"
"FFT coefficients",399,0.766233766233766,7,"WormsTwoClass","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.792207792207792,7,"WormsTwoClass","xgboost"
"FFT (Re, Im) + quantiles",300,0.714285714285714,7,"WormsTwoClass","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.766233766233766,7,"WormsTwoClass","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.779220779220779,7,"WormsTwoClass","xgboost"
"catch22",22,0.753246753246753,8,"WormsTwoClass","xgboost"
"feasts",37,0.74025974025974,8,"WormsTwoClass","xgboost"
"tsfeatures",59,0.766233766233766,8,"WormsTwoClass","xgboost"
"TSFEL",144,0.74025974025974,8,"WormsTwoClass","xgboost"
"Kats",36,0.766233766233766,8,"WormsTwoClass","xgboost"
"tsfresh",736,0.753246753246753,8,"WormsTwoClass","xgboost"
"quantiles",101,0.571428571428571,8,"WormsTwoClass","xgboost"
"FFT (Mag^2 + Angle) + quantiles",301,0.688311688311688,8,"WormsTwoClass","xgboost"
"FFT coefficients",399,0.701298701298701,8,"WormsTwoClass","xgboost"
"FFT (Re, Im, Mag, Angle) + quantiles",500,0.675324675324675,8,"WormsTwoClass","xgboost"
"FFT (Re, Im) + quantiles",300,0.623376623376623,8,"WormsTwoClass","xgboost"
"FFT (Mag, Angle) + quantiles",301,0.675324675324675,8,"WormsTwoClass","xgboost"
"FFT (log(Mag), Angle) + quantiles",301,0.688311688311688,8,"WormsTwoClass","xgboost"
"catch22",22,0.818181818181818,9,"WormsTwoClass","xgboost"
"feasts",37,0.831168831168831,9,"WormsTwoClass","xgboost"
